source,target,value,source_type,target_type
DOID:934,mir223,1,1,2
HAND2-AS1,DOID:0050686,1,0,1
DOID:9119,mir155,1,1,2
DOID:3068,mir16,1,1,2
DOID:0050615,mir25,1,1,2
DOID:162,mir1246,1,1,2
DOID:4,mir320b,1,1,2
HOTAIR,DOID:4960,1,0,1
DOID:1289,mir30a,1,1,2
DOID:162,mir195,1,1,2
DOID:1324,mir486,1,1,2
DOID:4450,mir146b,1,1,2
DOID:5093,mir181b,1,1,2
DOID:1909,let7d,1,1,2
mir658,mir938,1,2,2
DOID:7,mir223,1,1,2
DOID:15,mir574,1,1,2
DOID:299,mir155,1,1,2
DOID:684,mir765,1,1,2
DOID:193,mir16,1,1,2
C1QTNF9B-AS1,DOID:7,1,0,1
DOID:5844,mir30a,1,1,2
HAND2-AS1,DOID:14566,1,0,1
DOID:4960,mir181d,1,1,2
DOID:8692,let7d,1,1,2
DOID:4451,mir30d,1,1,2
DOID:0060083,mir181d,1,1,2
DOID:162,mir603,1,1,2
DOID:4,mir571,1,1,2
KCNQ1OT1,DOID:1428,1,0,1
DOID:162,mir184,1,1,2
DOID:4,mir520h,1,1,2
HOTAIR,DOID:2600,1,0,1
DOID:0050739,mir19a,1,1,2
OIP5-AS1,mir200b,1,0,2
LINC00271,DOID:0050013,1,0,1
DOID:1287,mir16,1,1,2
DOID:14566,mir192,1,1,2
XIST,mir195,1,0,2
DOID:0050686,let7b,1,1,2
CDKN2B-AS1,DOID:3856,1,0,1
DOID:3119,mir296,1,1,2
PVT1,DOID:0050615,1,0,1
DOID:2348,mir99b,1,1,2
DOID:8584,mir155,1,1,2
DOID:8692,mir590,1,1,2
DOID:768,mir29c,1,1,2
DOID:16,mir492,1,1,2
PICSAR,DOID:14566,1,0,1
DOID:162,mir361,1,1,2
DOID:10763,mir192,1,1,2
DOID:170,mir181b,1,1,2
DOID:4,mir1246,1,1,2
DOID:3451,mir378g,1,1,2
EPB41L4A-AS1,mir30a,1,0,2
CTBP1-AS,DOID:3856,1,0,1
DOID:5093,mir196a,1,1,2
DOID:0050687,mir30c,1,1,2
DOID:10952,mir198,1,1,2
DOID:14566,mir524,1,1,2
DOID:1037,mir342,1,1,2
DOID:1287,mir520f,1,1,2
DOID:14566,mir99b,1,1,2
DOID:7,mir299,1,1,2
DOID:0050902,mir186,1,1,2
DOID:1319,mir125b,1,1,2
H19,DOID:10591,1,0,1
DOID:934,mir324,1,1,2
PRINS,DOID:37,1,0,1
DOID:193,mir192,1,1,2
BLACAT1,DOID:14566,1,0,1
DOID:0060100,let7b,1,1,2
DOID:5614,mir182,1,1,2
mir595,mir938,1,2,2
DOID:0050828,mir124,1,1,2
DOID:0050117,mir30d,1,1,2
DOID:114,let7d,1,1,2
DOID:9074,mir31,1,1,2
DOID:4,mir603,1,1,2
DOID:5093,mir1915,1,1,2
DOID:2789,mir18b,1,1,2
DOID:14566,mir708,1,1,2
DOID:1287,mir192,1,1,2
DOID:0050902,mir9,1,1,2
DOID:3908,let7b,1,1,2
DOID:7,mir324,1,1,2
DOID:1319,mir372,1,1,2
mir522,mir500b,1,2,2
H19,DOID:2876,1,0,1
DOID:0050686,mir10b,1,1,2
DOID:18,mir199a,1,1,2
DOID:3119,mir30d,1,1,2
DOID:193,mir99b,1,1,2
LINC00602,DOID:0050687,1,0,1
DOID:1040,mir19a,1,1,2
SAMMSON,DOID:0050687,1,0,1
DOID:3068,mir708,1,1,2
DOID:114,mir325,1,1,2
DOID:9206,mir200a,1,1,2
DOID:0050117,mir106a,1,1,2
KCNQ1OT1,DOID:3996,1,0,1
DISC2,DOID:305,1,0,1
DOID:170,mir196a,1,1,2
DOID:863,mir199a,1,1,2
UCA1,DOID:0050687,1,0,1
DOID:1287,mir99b,1,1,2
DOID:14566,mir570,1,1,2
DOID:1781,mir31,1,1,2
DOID:7,mir504,1,1,2
MIR100HG,DOID:2621,1,0,1
DOID:0050902,mir19a,1,1,2
H19,DOID:5572,1,0,1
DOID:0050686,mir34c,1,1,2
LINC00261,DOID:1793,1,0,1
DOID:1398,mir106b,1,1,2
DOID:193,mir708,1,1,2
DOID:2394,mir194,1,1,2
DOID:14330,mir335,1,1,2
DOID:3119,mir608,1,1,2
NBAT1,DOID:4,1,0,1
KIRREL3-AS3,DOID:305,1,0,1
DOID:3996,mir124,1,1,2
HAR1A,DOID:150,1,0,1
DOID:3393,mir31,1,1,2
DOID:3905,mir193b,1,1,2
DOID:8552,mir31,1,1,2
DOID:0050117,mir342,1,1,2
DOID:0050615,mir1297,1,1,2
ERICH1-AS1,DOID:10584,1,0,1
MYCNOS,DOID:2621,1,0,1
DOID:10591,mir20b,1,1,2
DOID:170,mir370,1,1,2
DOID:863,mir433,1,1,2
DOID:0060058,mir106a,1,1,2
DOID:10534,mir106b,1,1,2
DOID:0060085,mir216b,1,1,2
DOID:0050902,mir153,1,1,2
DOID:0050686,mir190a,1,1,2
GAS5,DOID:1909,1,0,1
DOID:3069,mir124,1,1,2
DOID:3119,mir617,1,1,2
DOID:2871,mir21,1,1,2
DOID:2394,mir31,1,1,2
DOID:771,mir19b,1,1,2
DOID:1749,let7i,1,1,2
DOID:0060100,mir34c,1,1,2
DOID:3996,mir365b,1,1,2
DOID:0050828,mir429,1,1,2
DOID:2237,mir372,1,1,2
KCNQ1OT1,mir216b,1,0,2
DOID:305,mir519a,1,1,2
DOID:655,mir34a,1,1,2
DOID:4362,mir193b,1,1,2
UCA1,DOID:3908,1,0,1
DOID:0060058,mir342,1,1,2
DOID:10534,mir34a,1,1,2
DOID:17,mir21,1,1,2
DOID:0060085,mir516b,1,1,2
HCP5,mir20b,1,0,2
PTCSC2,DOID:1781,1,0,1
DOID:0050686,mir935,1,1,2
DOID:3908,mir34c,1,1,2
DOID:769,mir99a,1,1,2
DOID:0050686,mir382,1,1,2
DOID:3119,mir532,1,1,2
DOID:771,mir135b,1,1,2
mir601,mir518f,1,2,2
DOID:331,mir205,1,1,2
DOID:686,mir133b,1,1,2
LINC00922,DOID:4,1,0,1
DOID:3620,mir124,1,1,2
DOID:3996,mir135a,1,1,2
DOID:684,mir199b,1,1,2
DOID:289,mir126,1,1,2
DOID:0060119,mir144,1,1,2
DOID:120,mir215,1,1,2
mir657,mir1301,1,2,2
UCA1,DOID:1612,1,0,1
ZEB1-AS1,DOID:4,1,0,1
DOID:10534,mir130b,1,1,2
DOID:1307,mir132,1,1,2
DOID:2043,mir663,1,1,2
mir577,mir595,1,2,2
DOID:0050686,mir298,1,1,2
DOID:1324,mir136,1,1,2
NEAT1,DOID:421,1,0,1
DOID:150,mir20b,1,1,2
DOID:3119,mir513b,1,1,2
DOID:3451,mir125a,1,1,2
DOID:2394,mir193b,1,1,2
DOID:0060072,mir141,1,1,2
DOID:1749,mir126,1,1,2
DOID:0070004,mir155,1,1,2
DOID:686,mir423,1,1,2
XIST,DOID:18,1,0,1
DOID:3996,mir429,1,1,2
DOID:684,mir96,1,1,2
DOID:0060089,mir432,1,1,2
DOID:3093,mir146b,1,1,2
DOID:6050,mir132,1,1,2
C1QTNF9B-AS1,DOID:162,1,0,1
OIP5-AS1,mir378i,1,0,2
DOID:3829,mir141,1,1,2
DOID:17,mir223,1,1,2
DOID:8618,mir23b,1,1,2
DOID:0050177,mir155,1,1,2
DOID:0050686,mir765,1,1,2
GAS5,DOID:48,1,0,1
DOID:176,mir25,1,1,2
DOID:150,mir550a,1,1,2
DOID:263,mir26a,1,1,2
DOID:1612,mir132,1,1,2
GNAS-AS1,DOID:655,1,0,1
DOID:1240,mir27a,1,1,2
DOID:15,mir10a,1,1,2
DOID:686,mir148b,1,1,2
DOID:10283,mir296,1,1,2
DOID:3342,mir223,1,1,2
DOID:684,mir21,1,1,2
HCG4,DOID:3347,1,0,1
DOID:289,mir141,1,1,2
DOID:0080001,mir498,1,1,2
DOID:120,mir25,1,1,2
DOID:3355,mir373,1,1,2
DOID:162,mir296,1,1,2
DOID:4,mir221,1,1,2
DOID:3069,mir193a,1,1,2
DOID:686,mir147a,1,1,2
DOID:1240,mir454,1,1,2
DOID:3571,mir29a,1,1,2
DOID:15,mir23b,1,1,2
DOID:3948,mir16,1,1,2
DOID:10283,mir185,1,1,2
DOID:0060060,mir17,1,1,2
DOID:3093,mir181b,1,1,2
DOID:6050,mir146b,1,1,2
DOID:399,mir520d,1,1,2
DOID:178,mir150,1,1,2
DOID:3070,mir221,1,1,2
DOID:8692,mir154,1,1,2
DOID:0080000,mir29a,1,1,2
DOID:0050615,mir142,1,1,2
MALAT1,mir23b,1,0,2
DOID:162,mir185,1,1,2
DOID:4,mir449a,1,1,2
DOID:3347,mir145,1,1,2
DOID:3069,mir548b,1,1,2
DOID:1324,mir520a,1,1,2
DOID:263,mir302b,1,1,2
DOID:0050687,mir146b,1,1,2
DOID:0060040,mir181b,1,1,2
DOID:1612,mir146b,1,1,2
DOID:3571,mir346,1,1,2
DOID:14566,mir27b,1,1,2
DOID:201,mir181b,1,1,2
DOID:7,mir134,1,1,2
XIST,mir296,1,0,2
DOID:3620,mir193a,1,1,2
DOID:10283,mir30d,1,1,2
DOID:3856,mir224,1,1,2
DOID:0050338,mir29a,1,1,2
DOID:2513,mir29c,1,1,2
DOID:9119,mir26a,1,1,2
DOID:0050890,mir16,1,1,2
DOID:229,mir145,1,1,2
DOID:11054,mir9,1,1,2
DOID:0050615,mir487b,1,1,2
DOID:162,mir202,1,1,2
DOID:2377,mir150,1,1,2
DOID:162,mir30d,1,1,2
LINC00511,mir150,1,0,2
DOID:4,mir296,1,1,2
DOID:1324,mir326,1,1,2
DOID:1192,mir152,1,1,2
DOID:4,mir630,1,1,2
LINC00654,DOID:0050687,1,0,1
DOID:2914,mir224,1,1,2
DOID:3213,mir29a,1,1,2
DOID:7,mir424,1,1,2
DOID:3571,mir320a,1,1,2
LINC00474,DOID:48,1,0,1
XIST,mir185,1,0,2
DOID:0050013,mir29c,1,1,2
CDKN2B-AS1,DOID:2394,1,0,1
DOID:193,mir27b,1,1,2
DOID:2513,mir378h,1,1,2
DOID:934,mir150,1,1,2
DOID:178,mir483,1,1,2
DOID:5419,mir30b,1,1,2
DOID:178,mir182,1,1,2
DOID:0060083,mir29a,1,1,2
DOID:409,mir15a,1,1,2
DOID:3118,mir29c,1,1,2
DOID:4,mir378c,1,1,2
DOID:0050615,mir15a,1,1,2
DOID:162,mir608,1,1,2
DOID:4,mir185,1,1,2
HOTAIR,DOID:3717,1,0,1
DOID:3347,mir17,1,1,2
EPB41L4A-AS1,mir17,1,0,2
DOID:1324,mir9,1,1,2
DOID:0050687,mir181b,1,1,2
DOID:1612,mir320c,1,1,2
DOID:1287,mir27b,1,1,2
DOID:2531,mir181c,1,1,2
LINC01426,DOID:5041,1,0,1
DOID:14566,mir30b,1,1,2
DOID:3571,mir615,1,1,2
DOID:7,mir150,1,1,2
H19,DOID:3594,1,0,1
XIST,mir30d,1,0,2
H19,DOID:0050687,1,0,1
DOID:3856,mir29a,1,1,2
DOID:0060158,mir17,1,1,2
DOID:3070,mir185,1,1,2
DOID:8692,mir92a,1,1,2
DOID:229,mir17,1,1,2
DOID:114,mir520b,1,1,2
DOID:2621,mir27b,1,1,2
DOID:660,let7c,1,1,2
DOID:0060083,let7b,1,1,2
MALAT1,mir378h,1,0,2
DOID:0050615,mir520d,1,1,2
DOID:162,mir617,1,1,2
DOID:4,mir202,1,1,2
MEG3,DOID:219,1,0,1
CCAT2,DOID:3908,1,0,1
DOID:1037,mir99a,1,1,2
DOID:1909,mir19b,1,1,2
LINC00467,DOID:2621,1,0,1
DOID:0060085,mir103a,1,1,2
DOID:14566,mir601,1,1,2
DOID:2914,mir29a,1,1,2
DOID:7,mir512,1,1,2
MIR100HG,DOID:0050155,1,0,1
DOID:9261,mir138,1,1,2
DOID:3119,mir181c,1,1,2
DOID:193,mir30b,1,1,2
MIR155HG,DOID:1037,1,0,1
DOID:5844,mir31,1,1,2
KIRREL3-AS3,DOID:3905,1,0,1
DOID:423,mir29a,1,1,2
DOID:229,mir520g,1,1,2
DOID:8692,mir410,1,1,2
DOID:4451,mir99a,1,1,2
MALAT1,mir590,1,0,2
DOID:4,mir1231,1,1,2
DOID:863,let7c,1,1,2
CDKN2A-AS1,DOID:0050828,1,0,1
DOID:1909,mir135b,1,1,2
NPSR1-AS1,DOID:162,1,0,1
DOID:3571,mir26,1,1,2
DOID:14566,mir636,1,1,2
TINCR,DOID:4,1,0,1
DOID:1287,mir30b,1,1,2
DOID:3908,mir183,1,1,2
DOID:7,mir483,1,1,2
DOID:1319,mir302d,1,1,2
H19,DOID:3908,1,0,1
DOID:0050686,mir199b,1,1,2
DOID:0014667,mir126,1,1,2
DOID:2596,mir203,1,1,2
DOID:707,mir195,1,1,2
DOID:768,mir92a,1,1,2
TP53COR1,DOID:0050828,1,0,1
NCAM1-AS1,DOID:4,1,0,1
DOID:114,mir92a,1,1,2
DOID:0060083,mir615,1,1,2
DOID:4451,mir509,1,1,2
HCCAT5,DOID:162,1,0,1
DOID:0050117,mir197,1,1,2
DOID:660,mir1,1,1,2
DOID:305,mir34b,1,1,2
DOID:3627,mir21,1,1,2
DOID:1909,mir621,1,1,2
DOID:1612,mir1915,1,1,2
OIP5-AS1,mir376a,1,0,2
UCA1,DOID:10155,1,0,1
DOID:14566,mir190b,1,1,2
DOID:2531,mir99a,1,1,2
DOID:0060085,mir129,1,1,2
DOID:0050686,mir96,1,1,2
DOID:3856,mir642b,1,1,2
DLEU2,DOID:162,1,0,1
DOID:3119,mir1249,1,1,2
LINC00472,DOID:4,1,0,1
DOID:2394,mir30c,1,1,2
DOID:3119,mir197,1,1,2
DOID:526,mir217,1,1,2
DOID:771,let7f,1,1,2
DOID:3996,mir200a,1,1,2
SNHG1,mir21,1,0,2
DOID:3908,mir93,1,1,2
DOID:863,mir1,1,1,2
DOID:14566,mir508,1,1,2
DOID:3908,mir199b,1,1,2
DOID:8618,mir125b,1,1,2
CRNDE,mir136,1,0,2
DOID:0050686,mir21,1,1,2
PVT1,DOID:557,1,0,1
DOID:3119,mir99a,1,1,2
DOID:2394,mir103a,1,1,2
TUSC7,DOID:184,1,0,1
DOID:48,mir373,1,1,2
RMST,DOID:4,1,0,1
DOID:684,let7d,1,1,2
DOID:0050828,mir10a,1,1,2
DOID:3393,mir340,1,1,2
KCNQ1OT1,mir377,1,0,2
ERICH1-AS1,DOID:3905,1,0,1
DOID:170,mir34a,1,1,2
DOID:863,mir362,1,1,2
DOID:120,mir127,1,1,2
DOID:9351,mir103a,1,1,2
DOID:14566,mir151,1,1,2
DOID:3908,mir96,1,1,2
DOID:0050686,mir1323,1,1,2
DOID:0050686,mir598,1,1,2
MALAT1,DOID:10763,1,0,1
DOID:0060084,mir361,1,1,2
DOID:1398,mir20a,1,1,2
DOID:8850,mir301b,1,1,2
DOID:771,mir125a,1,1,2
DOID:686,mir210,1,1,2
DOID:0060100,mir21,1,1,2
DOID:1074,mir210,1,1,2
DOID:3620,mir200a,1,1,2
DOID:2621,mir190b,1,1,2
DOID:3996,mir212,1,1,2
DOID:3996,mir625,1,1,2
DOID:5041,mir214,1,1,2
DOID:65,mir142,1,1,2
DOID:289,mir203,1,1,2
DOID:0080001,mir132,1,1,2
DOID:305,mir542,1,1,2
DOID:120,mir375,1,1,2
DOID:2349,mir10a,1,1,2
TUG1,DOID:331,1,0,1
DOID:10534,mir20a,1,1,2
DOID:8618,mir140,1,1,2
DOID:557,mir1207,1,1,2
MALAT1,DOID:299,1,0,1
GAS5,DOID:3342,1,0,1
SCHLAP1,PCGEM1,1,0,0
LINC00472,mir196b,1,0,2
DOID:0060084,mir363,1,1,2
DOID:1240,mir145,1,1,2
DOID:1749,mir203,1,1,2
DOID:0060100,mir598,1,1,2
DOID:1793,mir451a,1,1,2
DOID:3620,mir338,1,1,2
TP53COR1,DOID:4159,1,0,1
DOID:3996,mir10a,1,1,2
DOID:10283,mir148a,1,1,2
DOID:684,mir122,1,1,2
MIAT,mir150,1,0,2
DOID:2513,mir140,1,1,2
DOID:0060037,mir212,1,1,2
UCA1,DOID:5672,1,0,1
DOID:11054,mir24,1,1,2
mir605,mir1228,1,2,2
DOID:0060085,mir519c,1,1,2
HOTTIP,DOID:184,1,0,1
DOID:0050177,mir26a,1,1,2
DOID:162,mir148a,1,1,2
GAS5,DOID:707,1,0,1
DOID:4,mir133a,1,1,2
DOID:3069,mir10a,1,1,2
ESRG,DOID:6713,1,0,1
DOID:201,mir222,1,1,2
DOID:3571,mir151a,1,1,2
DOID:686,mir224,1,1,2
XIST,DOID:630,1,0,1
DOID:65,mir519d,1,1,2
DOID:77,mir143,1,1,2
DOID:684,mir365a,1,1,2
DOID:3393,mir376b,1,1,2
DOID:417,mir145,1,1,2
DOID:3070,mir133a,1,1,2
DOID:1936,mir10a,1,1,2
DOID:162,mir501,1,1,2
MALAT1,mir140,1,0,2
DOID:4,mir382,1,1,2
MALAT1,DOID:3119,1,0,1
DOID:0060056,mir224,1,1,2
DOID:1324,mir24,1,1,2
GNAS-AS1,mir24,1,0,2
DOID:0060072,mir942,1,1,2
DOID:1240,mir138,1,1,2
DOID:0060072,mir26a,1,1,2
DOID:1240,mir17,1,1,2
DOID:331,mir328,1,1,2
IGF2-AS,DOID:0060158,1,0,1
XIST,mir148a,1,0,2
DOID:3620,mir10a,1,1,2
DOID:686,mir139,1,1,2
XIST,DOID:331,1,0,1
DOID:6050,mir222,1,1,2
DOID:848,mir519d,1,1,2
DOID:9119,mir143,1,1,2
DOID:11054,mir300,1,1,2
DOID:10534,mir449a,1,1,2
DOID:4,mir298,1,1,2
DOID:162,mir181c,1,1,2
DOID:4,mir148a,1,1,2
GAS5,DOID:8398,1,0,1
DOID:1324,mir137,1,1,2
NEAT1,mir181c,1,0,2
DOID:5093,mir148b,1,1,2
DOID:1612,mir222,1,1,2
DOID:0060072,mir491,1,1,2
DOID:3571,mir183,1,1,2
DOID:686,mir519e,1,1,2
DOID:299,mir143,1,1,2
DOID:684,mir450a,1,1,2
DOID:77,mir15b,1,1,2
mir655,mir1233,1,2,2
DOID:229,mir22,1,1,2
DOID:11054,mir378i,1,1,2
DOID:3070,mir148a,1,1,2
TUG1,mir197,1,0,2
DOID:0060083,mir151a,1,1,2
MIR194-2HG,DOID:0050686,1,0,1
PANDAR,DOID:5093,1,0,1
ZEB1-AS1,DOID:684,1,0,1
DOID:0060116,mir497,1,1,2
MALAT1,mir154,1,0,2
DOID:3953,mir155,1,1,2
DOID:4,mir501,1,1,2
DOID:0050739,mir18a,1,1,2
DOID:1909,mir302a,1,1,2
DOID:2914,mir429,1,1,2
CCAT2,DOID:10155,1,0,1
DOID:0060072,mir485,1,1,2
DOID:1287,mir146a,1,1,2
DOID:14566,mir181a,1,1,2
DOID:3571,mir7,1,1,2
DOID:1793,mir103b,1,1,2
DOID:15,mir520b,1,1,2
XIST,mir181c,1,0,2
DOID:3996,mir378h,1,1,2
DOID:4706,mir148a,1,1,2
CDKN2B-AS1,DOID:3571,1,0,1
LINC00261,DOID:0050686,1,0,1
DOID:3856,mir151a,1,1,2
DOID:684,mir650,1,1,2
DOID:934,mir23a,1,1,2
HULC,DOID:686,1,0,1
DOID:178,mir29b,1,1,2
DOID:9119,mir15b,1,1,2
SNHG12,mir15b,1,0,2
DOID:3068,mir181a,1,1,2
DOID:4451,let7a,1,1,2
MIR194-2HG,DOID:14566,1,0,1
DOID:0050615,mir26b,1,1,2
DOID:10763,mir181a,1,1,2
DOID:162,mir1249,1,1,2
DOID:1289,mir30c,1,1,2
DOID:1192,mir137,1,1,2
DOID:4,mir320d,1,1,2
mir1234,mir1301,1,2,2
LINC00467,DOID:769,1,0,1
DOID:1287,mir499a,1,1,2
DOID:1909,let7f,1,1,2
PCAT5,DOID:0050686,1,0,1
TINCR,DOID:10534,1,0,1
DOID:14566,mir520h,1,1,2
DOID:2531,mir299,1,1,2
DOID:0060122,mir18a,1,1,2
DOID:331,mir922,1,1,2
LINC01628,DOID:7,1,0,1
H19,DOID:10155,1,0,1
DOID:7,mir23a,1,1,2
LINC00261,DOID:14566,1,0,1
PVT1,DOID:1324,1,0,1
DOID:526,mir9,1,1,2
DOID:193,mir181a,1,1,2
WT1-AS,DOID:4960,1,0,1
DOID:10652,mir181c,1,1,2
DOID:11054,mir944,1,1,2
DOID:0060083,mir183,1,1,2
DOID:2377,mir29b,1,1,2
DOID:4,mir3163,1,1,2
LINC00511,mir29b,1,0,2
DOID:5093,mir526a,1,1,2
HOTAIR,DOID:263,1,0,1
MEG3,DOID:0050013,1,0,1
DOID:0050687,mir208b,1,1,2
DOID:1289,mir103a,1,1,2
DOID:824,mir30a,1,1,2
PCAT5,DOID:14566,1,0,1
DOID:1037,mir107,1,1,2
DOID:1287,mir181a,1,1,2
DOID:14566,mir195,1,1,2
DOID:14566,mir1246,1,1,2
DOID:2531,let7a,1,1,2
DOID:0050686,let7d,1,1,2
DOID:3856,mir574,1,1,2
EGOT,DOID:0050686,1,0,1
TTTY15,mir98,1,0,2
DOID:3119,mir299,1,1,2
PVT1,DOID:0050686,1,0,1
DOID:934,mir29b,1,1,2
DOID:1040,mir18a,1,1,2
IFNG-AS1,DOID:863,1,0,1
DOID:3070,mir3163,1,1,2
SNHG12,mir503,1,0,2
DOID:3388,mir548a,1,1,2
DOID:114,mir302a,1,1,2
DOID:3068,mir195,1,1,2
DOID:3905,mir196a,1,1,2
DOID:403,let7a,1,1,2
DOID:0050615,mir1254,1,1,2
KCNQ1OT1,DOID:3856,1,0,1
DOID:162,mir509,1,1,2
HOTAIR,DOID:5409,1,0,1
DOID:3451,mir378i,1,1,2
EPB41L4A-AS1,mir30c,1,0,2
DOID:0050687,mir30e,1,1,2
DOID:14566,mir603,1,1,2
DOID:1037,mir34b,1,1,2
DOID:1287,mir520h,1,1,2
DOID:14566,mir184,1,1,2
DOID:2531,mir32,1,1,2
DOID:0050902,mir18a,1,1,2
IGF2-AS,DOID:263,1,0,1
H19,DOID:5223,1,0,1
DOID:7,mir29b,1,1,2
DOID:7,mir569,1,1,2
EGOT,DOID:14566,1,0,1
DOID:3119,mir324,1,1,2
PVT1,DOID:14566,1,0,1
DOID:3119,let7a,1,1,2
DOID:14330,mir30a,1,1,2
DOID:193,mir195,1,1,2
DOID:0060100,let7d,1,1,2
mir518f,mir524,1,2,2
DOID:3996,let7g,1,1,2
DOID:3068,mir184,1,1,2
DOID:4451,mir34b,1,1,2
DOID:0050828,mir125b,1,1,2
DOID:4,mir548a,1,1,2
DOID:863,mir9,1,1,2
DOID:1492,mir106a,1,1,2
DOID:5093,mir93,1,1,2
mir657,mir517c,1,2,2
DOID:4362,mir196a,1,1,2
DOID:0060058,let7a,1,1,2
OIP5-AS1,mir216a,1,0,2
DOID:14566,mir361,1,1,2
DOID:0060085,mir206,1,1,2
DOID:0050902,mir92b,1,1,2
DOID:2998,mir371a,1,1,2
DOID:3908,let7d,1,1,2
DOID:7,mir486,1,1,2
DOID:0050686,mir122,1,1,2
DBH-AS1,DOID:0050686,1,0,1
LINC00675,DOID:0050687,1,0,1
DOID:3119,mir32,1,1,2
DOID:3996,mir335,1,1,2
DOID:1883,mir30a,1,1,2
DOID:3393,mir196a,1,1,2
DOID:305,mir20b,1,1,2
MEG3,DOID:15,1,0,1
DOID:4645,mir513b,1,1,2
DOID:1037,mir711,1,1,2
DOID:12336,mir19a,1,1,2
DOID:7,mir675,1,1,2
DOID:1781,mir370,1,1,2
DOID:1319,mir409,1,1,2
H19,DOID:5672,1,0,1
